,transcr_targets
PIM1,"FOXO3,UHRF1,MYC,HBP1,SKP2,NFATC1,HIST1H3A,RELA,CBX3,CDKN1A"
CHK2,"E2F1,BRCA1,TP53,CHEK2"
TRRAP,"HUWE1,HCFC1,NCOR2"
PRKDC,"HUWE1,STAG1,MYC,GADD45A,CHEK2,ATM,H2AFX,XRCC5,RELB,TRRAP,POLR2A,BRCA1,HNRNPU,PRKDC,TP53,EGR1,XRCC6,SKP2,SRF,RELA,TOPBP1,MED1,NFKB1,MAPK8,EGFR,AKT1,NFKB2,JUNB,HSP90AA1,JUND,CDKN1A"
PAK6,"MAP2K1,AKT1"
CHK1,TP53
DYRK1A,"SIRT1,CCND1,SMARCA2,FOXO1,RUNX1,CHD4,ID2,NFATC1,POLR2A,TP53"
LYN,"CBL,LYN,PPP1R8,PRKCD,CCND1,TOP2A,CSNK2A1,PPP2CA,TRIM28,MYC,STAT1,PTEN,IKBKB,YY1,TP53"
ULK1,SQSTM1
EIF2AK1,HSPA1A
KDR,CBL
YES1,"PRKCD,SMARCA5,YAP1"
CDK7,"CDK1,GTF2F1,CDK2,CDK6,TOP2A,CTR9,SMAD1,CCNH,CDK7,CCNE1,RARA,TAF3,POLR2A,CDK9,BRCA1,CCNA2,E2F1,TP53"
SGK3,GSK3B
FLT1,
CK1GAMMA1,"FOXO1,TP53"
MET,"CBL,CDH1,PTPN1,PARP1"
PDHK2,"PRKCA,AKT1"
CLK1,PTPN1
TTK,"CDK2,TOP2A,XPO1,E2F4,AURKA,CHEK1,PLK1,CDK1,HSP90AA1,E2F1,TP53,CHEK2"
PRKCI,"EZH2,SP1,SMARCA5,MAP2K1,HSPA4,CDK7,ELF3,FBXW7,DDB1"
GSK3BETA,"MYC,TCF7L2,RBL2,DNMT1,E2F1,NFATC1,GSK3A,CEBPB,CREB1,STAT3,HNRNPD,SREBF1,FOXO3,SMAD1,PARP1,PIN1,TP53,CCND1,BCL3,SMAD3,AURKA,GSK3B,JUN,SNAI1,NFKB1,MUC1,FOXO1,CDH1,AKT1,PHF1,CCNE1,PTEN"
SIK3,SMARCA2
PKCALPHA,"PA2G4,PRKCD,CREB1,NFKB1,CAV1,TOP2A,EGFR,MYC,PRKCA,JAK1,KLF5,GSK3B,MAPK7,TP53"
PRKACA,"CDK16,TOP2A,HDAC5,MYC,TCF7L2,RBL2,APPL1,NFATC1,GSK3A,CDK1,TUBB,GADD45A,ERBB2,CEBPB,AES,CREB1,STAT3,NCOA3,RXRA,HNRNPD,SREBF1,FOXO3,TOP2B,TLE1,HDAC7,VDR,CCNA2,BHLHE40,DDB1,PIN1,TP53,NCOR2,CCND1,ATF3,SMAD3,EGR1,CAV1,KLF4,AURKA,H3F3A,MAPK1,NFKBIA,HIF1A,SRF,RARA,RB1,GSK3B,RELA,CBX3,SMAD7,LYN,NCOR1,FOSL2,TBX2,JUN,SNAI1,FOS,CDK6,CDH1,EGFR,NFKB1,UHRF1,PSMC5,UBE3A,TFAP2A,CCNE1,SMAD4,TGM2,PTEN,GTF2I,JUNB,HSP90AA1,CDKN1A"
PRKCA,"TOP2A,IER3,TDG,MYC,TCF7L2,RBL2,STAT1,KDM1A,APPL1,NFATC1,GSK3A,CDK1,TUBB,GADD45A,ERBB2,CEBPB,CDK9,PTPN1,ATM,STAT3,HEXIM1,HNRNPD,NFE2L2,PIM1,PRKCA,VDR,ID2,CCNA2,BHLHE40,ATF2,TP53,PFDN5,NCOR2,HMGA1,YAP1,CCND1,FBXW7,PA2G4,SMAD3,EGR1,CAV1,MAP2K1,KLF4,SQSTM1,AURKA,MAPKAPK2,MAPK1,NFKBIA,IKBKB,SRF,ELF3,HIST1H3A,RB1,AHR,GSK3B,MNT,RELA,IRF1,SFPQ,ATAD2,NCOR1,FOSL2,BCL6,JUN,FOS,CDK6,MUC1,CDH1,EGFR,AKT1,NR2C1,NFKB1,MXD1,TGM2,CCNE1,PTEN,TUBA1A,STUB1,JUNB,JUND,CDKN1A"
PCNA,CDK2
BAZ1B,H2AFX
RIPK1,"PML,ETV6,STAT6,HSPA1A,HSPA8,TUBB"
NPM/ALK,"STAT1,MSH2"
PRKAA2,"FOXO3,HDAC5,TFAP2A,IKBKB,PARP1,TP53"
EPHB6,CBL
CSNK1G2,"GSK3A,EHMT2"
PRKCH,"GSK3A,GSK3B,CCNE1"
CAMKIIALPHA,"CREB1,EGFR,SRF,JAK1,CEBPB"
EPHA3,"CBL,LYN"
RAF1,"MAPK3,HSPA4,MYC,RBL2,PRKCA,PARP1,JAK1,PPP2R1A,PIN1,TP53,EGR1,MAP2K1,ELK1,MAPK1,RB1,MAPK7,NR3C1,PRKCD,NFKB1,FOS,AKT1,HSPA8,JUNB,HSP90AA1"
MAP4K4,"DDX17,SMARCA4"
GRK5,"SMAD1,TP53"
MAP2K5,MAPK7
LRRK1,RELB
MAPK8,"MYC,RBL2,STAT1,PPARG,NFATC1,CDK1,GADD45A,CTBP1,TUBB,SP1,STAT3,NCOA3,RXRA,RUNX1,SREBF1,FOXO3,NFE2L2,H2AFX,TLE1,BHLHE40,ATF2,TP53,HMGA1,SIRT1,CCND1,BARD1,RPS3,KLF4,EGR1,ELF4,MAPK1,NFKBIA,RARA,NR3C1,JUN,FOSL2,SIN3A,FOS,STAT6,CDH1,SUZ12,EGFR,JUND,GTF2I,TFAP2A,SIRT6,PTEN,IER3,JUNB,STUB1,CDKN1A"
TRKB,FOS
HIPK2,"SP100,TRIM28,SMAD2,MYC,SUMO1,CTBP1,CEBPB,CHD8,CREB1,MDM4,RUNX1,SMAD1,TLE1,CHUK,PARP1,HDAC4,PRKDC,TP53,HMGA1,SIRT1,PML,MECP2,SMAD3,CAV1,HIF1A,XRCC6,IKBKB,ASXL1,RELA,NCOR1,SIN3A,SIAH2,MAPK8,NFKB1,HIPK2,PHF1"
PIM2,"MYC,CDKN1A"
NIK,"CEBPB,TP53"
PTEN,MAP2K1
TLK1,"HNRNPD,ATM,HIST1H3A"
CDKL4,CHFR
ITK,"CBL,KHDRBS1"
PTK2B,TGFB1I1
EP400,TRRAP
ACVR2B,AKT1
MAP2K7,"GSK3A,MAPK9,MAPK8"
MAST1,AKT1
PRKCG,"GSK3A,GSK3B,HSP90AA1"
GRK3,SMARCA2
BRSK2,CDK16
HASPIN,HIST1H3A
JAK3,"STAT1,EZH2,JAK1,NFATC1"
CHUK,"PIAS1,NCOR1,CCND1,BCL3,NFKB1,BTRC,NCOA3,IKBKE,FOXO3,CALM1,MYC,NFKB2,HSPA1A,RELB,NFKBIA,TUBB,RELA,NCOR2"
PRKG1,"EGR1,PRKCA,PTEN,SRF,GTF2I,CDKN1A,SMAD7"
ERBB3,"EGFR,AKT1,ERBB2"
GTF2F1,GTF2F1
LRRK2,"AKT1,TP53"
MAP3K21,MAP2K1
YES,"CBL,EGFR"
TP53RK,"ERBB2,TP53"
SRPK3,SIRT2
EPHB4,YAP1
HSPB8,MAPK3
IKKBETA,"IRF7,STAT3,FOS,NFKB1,SQSTM1,FOXO3,AKT1,NFKB2,NFKBIA,NFKBIB,IKBKB,CHUK,RELA,TP53"
PIK3R4,SMARCA5
CK2A2,"JUN,PPP1R8,RELA,HDAC2,SSRP1,MYC,TCF7L2,NCL,NFKBIA,PTEN,HSP90AA1,PTPN1"
NME1,NME1
MELK,"SMAD3,SMAD2,SMAD4,TP53,SMAD7"
DYRK1B,"CCND1,HDAC5,H3F3A,ID2,CDKN1A"
ICK,SIRT2
TAOK3,ZNF281
CSNK1G1,RELA
MAP3K20,"HIST1H3A,CHEK2"
RPS6KA6,XPO1
CAMK1,"HDAC7,HDAC5"
STK17A,TP53
CSNK1A1,"TP53,CREB1,MDM4,FOXO1,CDH1,SQSTM1,YBX1,CHD4,KPNB1,KDM1A,CCAR2,VHL,RELA,CDKN1A"
WNK1,SMARCA2
PKAALPHA,"PPP1R8,CREB1,NFKB1,FOS,CDK16,AURKA,GSK3A,RELA"
CDK2,"CDK16,HMGB1,STAG1,FOXA1,TOP2A,RAD21,MYC,TDG,SET,TAF6,MED14,RCOR1,SPEN,SUMO1,PLK1,ZBTB33,TUBB,KHDRBS1,CHD8,DNMT3A,MYBBP1A,TP53BP2,TP53BP1,EHMT1,CHEK1,MSH2,HMGA1,GPS1,CCND1,CDK2,RPS3,CAV1,SMARCA2,CTR9,MEN1,ING4,MAPK1,HIF1A,VHL,XRCC6,BRD7,GSK3B,MNT,NR3C1,CDK8,FOS,CDK6,BANP,SUZ12,XPO1,SIRT2,CDC73,UBE3A,SNW1,CCNE1,YY1,CDKN1A,NELFB,SENP1,SP2,WDR77,MTF2,TCF7L2,KPNB1,DAXX,PPP1CA,E2F1,CDK1,GADD45A,ERBB2,CEBPB,GSK3A,SP3,CHEK2,TCF3,MDM4,NCOA3,USP7,RFC1,PIM1,NPM1,DDB2,CCNA2,NCOA2,SMARCC1,ATF2,PRKDC,NCOR2,ATF3,SMAD3,SSRP1,EGR1,MAP2K1,NBN,LRIF1,FANCD2,CSNK2B,AURKA,SUMO2,SKP2,SMC1A,ASXL1,MLH1,ATAD2,LYN,FOSL2,SETDB1,JARID2,TFAP2A,SMAD4,CDK7,PHB2,SIRT6,GTF2I,TFDP1,HSP90AA1,KAT5,CDYL,ATRX,HUWE1,EHMT2,TAF4,IER3,SMAD2,ANP32A,RBL2,CDK9,PTPN1,SP1,NELFE,RUNX1,FOXO3,NFE2L2,H2AFX,TLE1,PRKCA,BHLHE40,PARP1,POLR2A,BRCA1,KAT6A,TP53,BARD1,PML,CHD4,NCOA6,ELF4,CCAR2,NFKBIA,HCFC1,RB1,TOPBP1,USP37,MED1,CEBPZ,MAPK8,BRD4,FOXO1,CDH1,EGFR,UHRF1,E2F6,PSMC5,FOXM1,NCL,PTEN,SFPQ,JUNB,RBBP4,EZH2,PELP1,TERF2,TRIM28,STAT1,CCNH,DNMT1,SMARCA4,STAG2,STAT3,HDAC2,HNRNPD,SREBF1,TOP2B,SNIP1,TAF1,XRCC5,SMAD5,ID2,CHUK,HNRNPU,CCNT1,CDCA5,PA2G4,SMC3,RUVBL2,FZR1,NONO,E2F4,RNF4,TCF20,PRMT1,JUN,SIN3A,CTCF,RPL11,RBL1,KMT2A,JUND"
VRK1,"TP53,JUN,ATF2,HIST1H3A"
STK38L,"SMARCA5,YAP1"
PKN3,EGFR
CDC42BPG,"CDH1,ERBB2"
CAMKIIGAMMA,"EGFR,CREB1"
ABL,"CBL,CDK2,MUC1,CAV1,NFKBIA"
STK3,"PRKCA,HIST1H3A,YAP1"
