	ABT-869	AG-1296	AG-370	CHIR99021	Doramapimod	Gefitinib	LY364947	Necrostatin-5	PD 0325901	PD 173074	Ruxolitinib	SB-431542	SP 600125	Uninhibited_TNF	Uninhibited_Untreated	Valproic Acid	Y-27632 2HCl
CDKL1	0.0159307303714091	0.0427062596880357	0.0377683414873155	0.0679268702907417	0	0.00703412959680369	0.0523321106771205	0.0342667034621699	0	0.0243905413480652	0.0431366583062176	0.0221532732353665	0.0393026831938164	0.023491657058765	0.0169455440105374	0.00832399327966402	0.0193197226091243
MAP4K5	0.26379757284018	0.27451343702564	0.350973124248384	0.274342268516992	0.403286505309104	0.284618769143349	0.262624307202182	0.283924484218449	0.994134605825629	0.265884867812695	0.267259234544647	0.223434952741582	0.261356822730055	0.239554377005081	0.296378952911653	0.215686128560368	0.250308937699
ATL1	0.0689984761845242	0.104763662285887	0.111426629643562	0.0899728848877694	0	0.0735167339309106	0.0658805727269667	0.0852094175326564	0.232931914001537	0.0641568595083671	0.115333380491981	0.0917353644076848	0.076769622187684	0.0959971749469595	0.0742017261646132	0.0779593371208026	0.0815858112403235
SAV1	0.179236830209234	0.225077418297857	0.207215245572661	0.110224482792254	0.131367942951458	0.228189556985132	0.178271310923061	0.167142330512831	0	0.060157833059947	0.149227307377228	0.197057129280909	0.211937593377304	0.179053841825302	0.208099700842891	0.161363643574136	0.178657013224692
NIN	0.631679142385892	0.510520703276801	0.63798001933278	0.424256985220121	0.758535075193455	0.447042882903784	0.539375604479733	0.515508583988171	0.401733926121522	0.563387860886632	0.565730215711608	0.526773410638116	0.535423887239255	0.602334832285375	0.491245904977726	0.510223509643611	0.59318750927793
PYGL	0.429076390648143	0.420794684328063	0.527578591291983	0.406897172910869	0.475273930848996	0.510256000066236	0.365577554669983	0.420362232607228	0	0.43814372704299	0.545101109303364	0.530555425259451	0.503262723552236	0.50560380275654	0.596810790858191	0.579740150740904	0.472912410362482
AL358334.2	0.00919104975574785	0.01057918946482	0.0151743916965729	0	0	0.00940601044067159	0.0105204089076885	0.00770122927021611	0	0	0.00909092632163978	0.0114085981064485	0.0194800839838215	0.0206521738824228	0.0145500069031734	0.00649389410172691	0.0101118258440123
TRIM9	0.0925134027270252	0.0865737541132358	0.0787029905725532	0.0705536501710721	0	0.0611717085651566	0.0501929424963697	0.0469151741631095	0	0.0539666135860223	0.0842691312365087	0.174142777920584	0.0842757943269343	0.105498448567824	0.114045337469942	0.0466356453217432	0.102843113153628
TMX1	0.602795963447878	0.571726170215439	0.477143595476446	0.536115796104909	0.465826971387533	0.571019772889764	0.595997549824725	0.514642631926767	0	0.541520846080283	0.56166227970965	0.489376010018976	0.451918213466983	0.59260856835983	0.579100712560533	0.651103339260016	0.636480797749735
FRMD6	0.0904245943866837	0.191743869295378	0.227177046935951	0.0339880362214253	0.225877946809006	0.318574135262268	0.0829925832018136	0.0744553122262681	0.844836668074072	0.173563240455858	0.110314160997089	0.142240994063099	0.12298929990957	0.124908048204171	0.110009618551777	0.129677814979327	0.175073118332201
FRMD6-AS1	0.156812770828329	0.132687795672926	0.117524119363398	0.0633844175883031	0.318989218416011	0.197544511622788	0.106602119885614	0.119629269909896	0.533845825325646	0.298923283298065	0.146800365542311	0.121569565323774	0.181010540106316	0.127534689112346	0.0874944321872315	0.0954382078331207	0.0861951390552816
RTRAF	2.07708769337119	2.2896027133708	2.13967332219914	1.88017249449468	2.19493245185302	2.03985863444721	1.7967064025041	1.8944774108265	1.53979950060128	2.04118419820853	2.13124401920118	2.13065936235897	2.10875802406964	1.99754606048408	1.91894947175993	2.31710954726183	2.10704860625357
NID2	0.0254424962353195	0.0239674294406713	0	0.00345582266376884	0	0.0179975203665793	0.0227831825449498	0.0370327417880205	0.168802012119984	0.0383020013505002	0.009677131546374	0.0170570256182951	0.0461421823829231	0.0220255648463188	0.0148396124293605	0.010073593258215	0.0259031508595181
TXNDC16	0.00507330931966922	0.0337600193877218	0	0.00477539867415831	0	0.019875459559681	0.0117610433254295	0.0137652757544916	0	0	0.00964682343730624	0	0.0177927680084469	0.00903694880251023	0.00899457032800204	0.0226045770881142	0.00606226873361364
ERO1A	0.237070352384592	0.460631066324606	0.517565141484226	0.322556601981396	0.290950583811485	0.465851141290756	0.381584409140136	0.367101721577409	0.394048921203099	0.303739541242286	0.361381004194359	0.306462364068829	0.277635629160302	0.356202577177605	0.332393875427166	0.248819033602312	0.304349957743106
AL133453.1	0.049549944482375	0.0166891641058546	0.0343779557377549	0.0568279080573543	0.122219506233195	0.0543828290320398	0.0482617253342854	0.0190005776989339	0	0.0422449102157849	0.0287748115656801	0.0443214866053047	0.0650048884073515	0.0689160448058461	0.0511811866756349	0.0871523013982559	0.0475995651847667
PSMC6	1.03023056793578	0.778041900606611	0.763993470423114	0.836101128654215	0.876359259225833	0.713227247262172	0.943562120306026	0.809517255983437	1.1563406969578	0.797615872570427	0.705752410138502	0.802739198591027	0.743362422538829	0.836363176735832	0.864222709769641	0.757483746156704	0.841994478527592
STYX	0.0851826283630472	0.103626055664136	0.086233597069453	0.119007012235548	0.0996928241718762	0.235299321680803	0.109856413353068	0.106921787530562	0	0.117195385191385	0.130373635708747	0.124915518962084	0.187181283957377	0.189200167396514	0.135747222878664	0.112397870497762	0.0965736530174248
GNPNAT1	0.79991281294441	0.556795659205158	0.586112493954009	0.722702174336673	0.240835939164191	0.563355535804069	0.554976266328075	0.491175838509694	0.533845825325646	0.836342865337987	0.499752238854313	0.475491011539784	0.599576432495614	0.600722049401289	0.511283967561292	0.506299230368281	0.555936983758256
AL139317.3	0.00507330931966922	0.00719701467831144	0.0109043524722893	0.0053852926108229	0	0.0165026444509196	0.0107576838716444	0.00395565395464526	0	0	0.00334801549729413	0.0109323813876186	0.0107539830533029	0.00876153859765126	0.00617461600130201	0.0133381946799885	0
FERMT2	1.13117226569033	0.955648655505778	0.900180156146458	0.788799056456273	0.841850900779139	0.767626284832176	0.570325498055473	0.654120573452354	1.12570186664617	0.825202073774772	0.832920668035324	0.84072521542645	0.841036391823289	0.856267864109782	0.756849436701581	0.809736624173524	0.753519105311807
DDHD1	0.0978606898103312	0.131790747079825	0.136432723938915	0.232204446790017	0.124305179574288	0.185164127530794	0.197413154281568	0.168863217420329	0.533845825325646	0.122148778133378	0.161683742798166	0.148039683407345	0.187411776089049	0.166543520761673	0.130639383589726	0.186568537591812	0.130497819438286
BMP4	0.0252037461059028	0.0302030050519382	0	0.0487932078756724	0	0.138588056421583	0.00846744403961875	0.024413758253138	0	0.0137650038542011	0.0202132704348657	0.0153962991242223	0.0296671957972895	0.014353583537551	0.0327417009868586	0.0052586852445499	0.0167669830559622
CDKN3	1.61970311506586	1.97196683905358	2.0083275582587	1.87458219057598	2.09864675901705	1.98515432333672	1.75653639421846	2.15179753251836	0	2.49393513191993	1.96908819122909	1.70802472092628	1.93232136128625	1.99202382706032	1.89641405294578	1.6887848609094	1.79514342690725
CNIH1	0.462476681721354	0.502777910776509	0.478821313731744	0.584924064102583	0.568414750408357	0.480158638364831	0.465333760450232	0.551608188637952	0.410836112259915	0.432287852686569	0.411265291742137	0.525737986818812	0.503508642933878	0.461310345870505	0.491237452468154	0.458213972511877	0.556047097423505
GMFB	0.211415725432791	0.170519392794503	0.167414278209334	0.203669006851625	0.0497039396850436	0.295385906847709	0.304466716364161	0.298642759209414	0.13650945327964	0.603004441920854	0.255071060415266	0.213011260209698	0.26276754525133	0.26873689636519	0.192692313141067	0.301322401119264	0.220635895245781
CGRRF1	0.208498377979963	0.114385014323576	0.165597154931592	0.169600886035642	0.188401503396988	0.0924921043190647	0.101728364405753	0.104319810050543	0.153296644336455	0.0461743273163417	0.105401186473051	0.146328574507971	0.181851262463947	0.142191474182155	0.108636440341334	0.139440637167898	0.154760416406655
SAMD4A	0.13538247417167	0.119056993047485	0.132412302719429	0.278801747036051	0.110894000611961	0.166117925073315	0.166518868248435	0.0923094669737355	0.626980835204636	0.0962426533182819	0.105289008460328	0.107545156121537	0.216936906881951	0.147210103063971	0.0666091021769321	0.132948003668231	0.108796020504591
GCH1	0.0181524359591888	0.051627972215163	0.0648183745989029	0.0167863230488924	0	0.0101631180446161	0.0251034753706079	0.0197503204123973	0.533845825325646	0	0.0175178471732378	0.0246074372105906	0.0237998368872924	0.0379588662429093	0.0225989113338244	0.0189858724220241	0.0585308320779242
WDHD1	0.343902901739456	0.205492987982255	0.252177913240659	0.248687435434666	0.133880854743256	0.322526322106011	0.255886210985722	0.238720986210082	0	0.319224539188083	0.289008795261414	0.272761335421925	0.193869634891464	0.207156510843814	0.302153219981639	0.263738044064497	0.254250278644687
SOCS4	0.18576505581475	0.216784921305353	0.187088698138216	0.280700349796808	0.0634292174472843	0.217681575711814	0.256989686429135	0.147615197247958	0	0.176827552430488	0.245485886163711	0.175532929164831	0.337250503220206	0.181484652156644	0.260116248544802	0.178152479398719	0.164335161282453
MAPK1IP1L	0.352600557034088	0.289335424992743	0.434920874279328	0.497209461329495	0.50489822509638	0.63508932479564	0.404395435342509	0.443299992397504	0	0.30890057971649	0.396645294758657	0.447083771181808	0.36609920874846	0.462002405596968	0.361635906026421	0.466574623004381	0.409794320153896
LGALS3	1.03473888048954	1.52292421704729	1.36862602058805	1.26835037032312	0.73708945824566	1.26386040944978	1.56909376203795	1.46434624967281	2.87853035938994	1.72978788255164	1.32003296875606	1.29400270021137	1.28520856666936	1.16334738908033	1.22531673620448	1.37962339070688	1.24616100676817
DLGAP5	0.992576339156209	0.691373696220393	0.807764708733856	0.597139159966021	0.922076625569698	1.14973525475054	0.766965003866984	0.908137118989018	0	1.17280486447528	0.757093077808245	0.728942030253918	0.957457014653953	0.821618026560842	0.714574505654698	0.615280154650133	0.734694783730588
FBXO34	0.188592434241414	0.171413764638834	0.190354188914248	0.118522819916974	0.0897465453138135	0.133207759938704	0.167416151104673	0.155537621555821	0.257539467923459	0.217302471561562	0.140274146328334	0.212997359969015	0.0832547498793465	0.179584029957719	0.154776017756676	0.102123086367486	0.174911914995107
ATG14	0.0600381542521707	0.0863711381074121	0.13472929999049	0.11894162737433	0.139507640154377	0.114477190785381	0.0973224772720382	0.0959221429161261	0	0.147411355862114	0.0955572152737098	0.0987025312959806	0.119745396360132	0.0891016884152188	0.080010422552597	0.0749992032409711	0.0968709185266751
KTN1-AS1	0.0623460982260027	0.0176397952946828	0.0528518348801671	0.0610959102598384	0.0544128849711612	0.102340832264761	0.080975484877289	0.0888213539206091	0	0.0368894791205548	0.0448938616483782	0.0349736009644821	0.0522155694216177	0.0401102082793622	0.0401647899139361	0.0439845911927031	0.0715194806182937
KTN1	5.12126821538495	4.62054470149972	4.88096664736558	4.14345885196779	5.00423358775734	5.26542122877355	4.51483813460705	4.57263000914953	4.80334243541147	4.95808339310556	4.69721009795014	4.42128212388113	4.82032783815803	4.40659533684219	4.42515793695448	4.7582900362729	4.65369520576333
PELI2	0.015169201853137	0.00918941966976902	0	0	0	0.0166347833319471	0	0.00584579608343354	0	0.0373261287554643	0.00326259164619934	0.00242962352497556	0.0728862973760933	0.0107984352011719	0.0133414256912491	0.00457523098053605	0
TMEM260	0.0567290228536679	0.0362974183378303	0.0413430832936694	0.0485740966040357	0.0612369871402327	0.041669986516456	0.0464755016269072	0.0885231082170391	0.153296644336455	0.0247988195761882	0.0425977558508896	0.0608009410234281	0.107336618775447	0.0440204577065664	0.0593387822659182	0.0595790273605256	0.0768418960357943
EXOC5	0.30866256775956	0.308299758683959	0.330381593595286	0.296763811787153	0.254137204027975	0.207937701624385	0.343716985246316	0.276144318720717	0.670355278605286	0.379517387083555	0.296997079348344	0.341490647718075	0.343828022974174	0.343906618385708	0.273286225415826	0.240645011022259	0.341020479196537
AP5M1	0.0788021225605692	0.14518102617198	0.0813021512628622	0.0750856680810992	0.0712280555702285	0.0860534042232305	0.104798945610396	0.123371781877174	0	0.110258138452314	0.113466296371036	0.1227521215133	0.0867252158387757	0.127072204257636	0.139067238700326	0.107560723099962	0.103033307784558
NAA30	0.1405838363378	0.110452934238573	0.173072492034851	0.145821392120844	0.206446768763033	0.131417069202939	0.111902477925532	0.117048952531393	0	0.110462709732401	0.136416882593326	0.124631571049953	0.156613185260427	0.172934197635561	0.148545928824348	0.124420635343915	0.133414240084913
CCDC198	0	0.0119543735686674	0.0942737758919566	0.00594728847958315	0	0.0413067174776335	0.0104325080023117	0.0260014441400937	0	0	0.0278190315916882	0.0237517905549491	0.00405567632458389	0.0241306895255511	0.026370647471646	0.0118249552149386	0.00448723471468367
ACTR10	0.257627512054879	0.374635648986868	0.317159542945104	0.338821788633813	0.47791540790504	0.464622862741066	0.45906387171812	0.317100383652506	0.465863828003075	0.466632453177174	0.34875532109163	0.352025111057776	0.398606268721461	0.421880197882478	0.309949503262182	0.286580682623749	0.444962138273302
PSMA3	2.11810878213843	2.41990306977865	2.11788917886823	3.1149902163176	2.76634423530371	2.65254875726738	2.64946134979479	2.61925936798152	1.89835172266483	2.31163380086822	2.63670783318768	2.507182833048	2.3976066767393	2.69621785082377	2.43870602908438	2.56225891918174	2.43027294512569
PSMA3-AS1	0.234019051299879	0.333422642442291	0.201761590509411	0.290667350199057	0.257759301948594	0.358902788029544	0.235736792215039	0.250733985133654	0.257539467923459	0.202785695460748	0.275494618482964	0.322699130036493	0.35447290390847	0.207514579855984	0.25958433705189	0.308909455504829	0.246385364030715
ARID4A	0.156644341561371	0.20770250883969	0.168264743438778	0.112493338168041	0.287935946034938	0.260999065743794	0.264241834122392	0.180900266564056	0.289806097616095	0.194833954700252	0.18478103936015	0.186702408624376	0.121293822823342	0.190807599997566	0.21029938426711	0.121185982749921	0.157119800733647
TIMM9	0.611043606898595	0.581299900390286	0.633849055680134	0.958864236777516	0.444088018395439	0.648785751624508	0.652739601495754	0.691642018360196	0.670355278605286	0.518820037583558	0.611459662730005	0.572740830648341	0.475845381202088	0.597592196293738	0.65831122124449	0.676141544352827	0.654891467722778
KIAA0586	0.188424655837618	0.114110594094541	0.12752112316023	0.232148015995416	0.340609643884965	0.191834983529368	0.18498628493121	0.28658157275143	0.369441367281177	0.145766876080607	0.195222626143698	0.195405071987939	0.214927491093727	0.309407145058384	0.205237367712357	0.184257470656412	0.201364258411679
